Period,Label1,Value
2018-04-13,New Zealand passport,10317
2018-04-13,Other passports,12487
2018-04-13,Total,22804
2018-04-14,New Zealand passport,10083
2018-04-14,Other passports,11739
2018-04-14,Total,21822
2018-04-15,New Zealand passport,9495
2018-04-15,Other passports,12689
2018-04-15,Total,22184
2018-04-16,New Zealand passport,9058
2018-04-16,Other passports,12060
2018-04-16,Total,21118
2018-04-17,New Zealand passport,10547
2018-04-17,Other passports,11556
2018-04-17,Total,22103
2018-04-18,New Zealand passport,8802
2018-04-18,Other passports,11065
2018-04-18,Total,19867
2018-04-19,New Zealand passport,9558
2018-04-19,Other passports,11194
2018-04-19,Total,20752
2018-04-20,New Zealand passport,9384
2018-04-20,Other passports,11655
2018-04-20,Total,21039
2018-04-21,New Zealand passport,8682
2018-04-21,Other passports,11105
2018-04-21,Total,19787
2018-04-22,New Zealand passport,8233
2018-04-22,Other passports,13246
2018-04-22,Total,21479
2018-04-23,New Zealand passport,7217
2018-04-23,Other passports,11780
2018-04-23,Total,18997
2018-04-24,New Zealand passport,7044
2018-04-24,Other passports,11764
2018-04-24,Total,18808
2018-04-25,New Zealand passport,9599
2018-04-25,Other passports,11621
2018-04-25,Total,21220
2018-04-26,New Zealand passport,7040
2018-04-26,Other passports,11523
2018-04-26,Total,18563
2018-04-27,New Zealand passport,7327
2018-04-27,Other passports,12760
2018-04-27,Total,20087
2018-04-28,New Zealand passport,6221
2018-04-28,Other passports,12368
2018-04-28,Total,18589
2018-04-29,New Zealand passport,6569
2018-04-29,Other passports,13113
2018-04-29,Total,19682
2018-04-30,New Zealand passport,6599
2018-04-30,Other passports,12013
2018-04-30,Total,18612
2018-05-01,New Zealand passport,6484
2018-05-01,Other passports,9115
2018-05-01,Total,15599
2018-05-02,New Zealand passport,7265
2018-05-02,Other passports,9786
2018-05-02,Total,17051
2018-05-03,New Zealand passport,7999
2018-05-03,Other passports,10171
2018-05-03,Total,18170
2018-05-04,New Zealand passport,8066
2018-05-04,Other passports,10243
2018-05-04,Total,18309
2018-05-05,New Zealand passport,7430
2018-05-05,Other passports,9506
2018-05-05,Total,16936
2018-05-06,New Zealand passport,7048
2018-05-06,Other passports,10759
2018-05-06,Total,17807
2018-05-07,New Zealand passport,8583
2018-05-07,Other passports,10156
2018-05-07,Total,18739
2018-05-08,New Zealand passport,6636
2018-05-08,Other passports,8326
2018-05-08,Total,14962
2018-05-09,New Zealand passport,7454
2018-05-09,Other passports,9085
2018-05-09,Total,16539
2018-05-10,New Zealand passport,7514
2018-05-10,Other passports,8567
2018-05-10,Total,16081
2018-05-11,New Zealand passport,8319
2018-05-11,Other passports,9961
2018-05-11,Total,18280
2018-05-12,New Zealand passport,7295
2018-05-12,Other passports,8837
2018-05-12,Total,16132
2018-05-13,New Zealand passport,7616
2018-05-13,Other passports,10703
2018-05-13,Total,18319
2018-05-14,New Zealand passport,6796
2018-05-14,Other passports,8682
2018-05-14,Total,15478
2018-05-15,New Zealand passport,6526
2018-05-15,Other passports,8006
2018-05-15,Total,14532
2018-05-16,New Zealand passport,7548
2018-05-16,Other passports,8091
2018-05-16,Total,15639
2018-05-17,New Zealand passport,9193
2018-05-17,Other passports,9592
2018-05-17,Total,18785
2018-05-18,New Zealand passport,8173
2018-05-18,Other passports,9586
2018-05-18,Total,17759
2018-05-19,New Zealand passport,7913
2018-05-19,Other passports,9022
2018-05-19,Total,16935
2018-05-20,New Zealand passport,6996
2018-05-20,Other passports,9255
2018-05-20,Total,16251
2018-05-21,New Zealand passport,6542
2018-05-21,Other passports,8944
2018-05-21,Total,15486
2018-05-22,New Zealand passport,6043
2018-05-22,Other passports,7229
2018-05-22,Total,13272
2018-05-23,New Zealand passport,7367
2018-05-23,Other passports,8080
2018-05-23,Total,15447
2018-05-24,New Zealand passport,7632
2018-05-24,Other passports,8177
2018-05-24,Total,15809
2018-05-25,New Zealand passport,8351
2018-05-25,Other passports,9389
2018-05-25,Total,17740
2018-05-26,New Zealand passport,7778
2018-05-26,Other passports,8652
2018-05-26,Total,16430
2018-05-27,New Zealand passport,7102
2018-05-27,Other passports,9524
2018-05-27,Total,16626
2018-05-28,New Zealand passport,8119
2018-05-28,Other passports,8539
2018-05-28,Total,16658
2018-05-29,New Zealand passport,6425
2018-05-29,Other passports,7461
2018-05-29,Total,13886
2018-05-30,New Zealand passport,8043
2018-05-30,Other passports,7785
2018-05-30,Total,15828
2018-05-31,New Zealand passport,9368
2018-05-31,Other passports,8095
2018-05-31,Total,17463
2018-06-01,New Zealand passport,11737
2018-06-01,Other passports,8064
2018-06-01,Total,19801
2018-06-02,New Zealand passport,9692
2018-06-02,Other passports,7757
2018-06-02,Total,17449
2018-06-03,New Zealand passport,8299
2018-06-03,Other passports,8793
2018-06-03,Total,17092
2018-06-04,New Zealand passport,7286
2018-06-04,Other passports,7379
2018-06-04,Total,14665
2018-06-05,New Zealand passport,7233
2018-06-05,Other passports,6464
2018-06-05,Total,13697
2018-06-06,New Zealand passport,7928
2018-06-06,Other passports,6710
2018-06-06,Total,14638
2018-06-07,New Zealand passport,9943
2018-06-07,Other passports,7450
2018-06-07,Total,17393
2018-06-08,New Zealand passport,9164
2018-06-08,Other passports,7608
2018-06-08,Total,16772
2018-06-09,New Zealand passport,8256
2018-06-09,Other passports,7209
2018-06-09,Total,15465
2018-06-10,New Zealand passport,6887
2018-06-10,Other passports,8243
2018-06-10,Total,15130
2018-06-11,New Zealand passport,7355
2018-06-11,Other passports,8748
2018-06-11,Total,16103
2018-06-12,New Zealand passport,6841
2018-06-12,Other passports,7341
2018-06-12,Total,14182
2018-06-13,New Zealand passport,8304
2018-06-13,Other passports,7427
2018-06-13,Total,15731
2018-06-14,New Zealand passport,7632
2018-06-14,Other passports,7055
2018-06-14,Total,14687
2018-06-15,New Zealand passport,9569
2018-06-15,Other passports,8705
2018-06-15,Total,18274
2018-06-16,New Zealand passport,8612
2018-06-16,Other passports,7626
2018-06-16,Total,16238
2018-06-17,New Zealand passport,8245
2018-06-17,Other passports,9544
2018-06-17,Total,17789
2018-06-18,New Zealand passport,8885
2018-06-18,Other passports,7990
2018-06-18,Total,16875
2018-06-19,New Zealand passport,6598
2018-06-19,Other passports,7246
2018-06-19,Total,13844
2018-06-20,New Zealand passport,8435
2018-06-20,Other passports,7667
2018-06-20,Total,16102
2018-06-21,New Zealand passport,8721
2018-06-21,Other passports,8786
2018-06-21,Total,17507
2018-06-22,New Zealand passport,10104
2018-06-22,Other passports,9128
2018-06-22,Total,19232
2018-06-23,New Zealand passport,9262
2018-06-23,Other passports,8128
2018-06-23,Total,17390
2018-06-24,New Zealand passport,8893
2018-06-24,Other passports,9485
2018-06-24,Total,18378
2018-06-25,New Zealand passport,8107
2018-06-25,Other passports,8189
2018-06-25,Total,16296
2018-06-26,New Zealand passport,7743
2018-06-26,Other passports,7644
2018-06-26,Total,15387
2018-06-27,New Zealand passport,8815
2018-06-27,Other passports,7854
2018-06-27,Total,16669
2018-06-28,New Zealand passport,9346
2018-06-28,Other passports,7981
2018-06-28,Total,17327
2018-06-29,New Zealand passport,10308
2018-06-29,Other passports,8524
2018-06-29,Total,18832
2018-06-30,New Zealand passport,10790
2018-06-30,Other passports,8840
2018-06-30,Total,19630
2018-07-01,New Zealand passport,10294
2018-07-01,Other passports,9119
2018-07-01,Total,19413
2018-07-02,New Zealand passport,8916
2018-07-02,Other passports,8524
2018-07-02,Total,17440
2018-07-03,New Zealand passport,11196
2018-07-03,Other passports,8961
2018-07-03,Total,20157
2018-07-04,New Zealand passport,10729
2018-07-04,Other passports,8664
2018-07-04,Total,19393
2018-07-05,New Zealand passport,12016
2018-07-05,Other passports,8906
2018-07-05,Total,20922
2018-07-06,New Zealand passport,13288
2018-07-06,Other passports,9077
2018-07-06,Total,22365
2018-07-07,New Zealand passport,13569
2018-07-07,Other passports,9595
2018-07-07,Total,23164
2018-07-08,New Zealand passport,11862
2018-07-08,Other passports,10194
2018-07-08,Total,22056
2018-07-09,New Zealand passport,11335
2018-07-09,Other passports,9400
2018-07-09,Total,20735
2018-07-10,New Zealand passport,10537
2018-07-10,Other passports,9133
2018-07-10,Total,19670
2018-07-11,New Zealand passport,11078
2018-07-11,Other passports,9291
2018-07-11,Total,20369
2018-07-12,New Zealand passport,10523
2018-07-12,Other passports,9596
2018-07-12,Total,20119
2018-07-13,New Zealand passport,11668
2018-07-13,Other passports,10436
2018-07-13,Total,22104
2018-07-14,New Zealand passport,10057
2018-07-14,Other passports,11016
2018-07-14,Total,21073
2018-07-15,New Zealand passport,9432
2018-07-15,Other passports,11158
2018-07-15,Total,20590
2018-07-16,New Zealand passport,8939
2018-07-16,Other passports,9731
2018-07-16,Total,18670
2018-07-17,New Zealand passport,8534
2018-07-17,Other passports,8911
2018-07-17,Total,17445
2018-07-18,New Zealand passport,9325
2018-07-18,Other passports,8997
2018-07-18,Total,18322
2018-07-19,New Zealand passport,8982
2018-07-19,Other passports,8325
2018-07-19,Total,17307
2018-07-20,New Zealand passport,9265
2018-07-20,Other passports,9282
2018-07-20,Total,18547
2018-07-21,New Zealand passport,8897
2018-07-21,Other passports,9477
2018-07-21,Total,18374
2018-07-22,New Zealand passport,8675
2018-07-22,Other passports,10126
2018-07-22,Total,18801
2018-07-23,New Zealand passport,8120
2018-07-23,Other passports,7879
2018-07-23,Total,15999
2018-07-24,New Zealand passport,9017
2018-07-24,Other passports,7226
2018-07-24,Total,16243
2018-07-25,New Zealand passport,8693
2018-07-25,Other passports,7448
2018-07-25,Total,16141
2018-07-26,New Zealand passport,8858
2018-07-26,Other passports,6967
2018-07-26,Total,15825
2018-07-27,New Zealand passport,9421
2018-07-27,Other passports,8778
2018-07-27,Total,18199
2018-07-28,New Zealand passport,9166
2018-07-28,Other passports,8689
2018-07-28,Total,17855
2018-07-29,New Zealand passport,7963
2018-07-29,Other passports,8864
2018-07-29,Total,16827
2018-07-30,New Zealand passport,6527
2018-07-30,Other passports,7546
2018-07-30,Total,14073
2018-07-31,New Zealand passport,7075
2018-07-31,Other passports,7276
2018-07-31,Total,14351
2018-08-01,New Zealand passport,9216
2018-08-01,Other passports,7462
2018-08-01,Total,16678
2018-08-02,New Zealand passport,8588
2018-08-02,Other passports,6899
2018-08-02,Total,15487
2018-08-03,New Zealand passport,10142
2018-08-03,Other passports,8816
2018-08-03,Total,18958
2018-08-04,New Zealand passport,9160
2018-08-04,Other passports,8328
2018-08-04,Total,17488
2018-08-05,New Zealand passport,8256
2018-08-05,Other passports,9728
2018-08-05,Total,17984
2018-08-06,New Zealand passport,9552
2018-08-06,Other passports,8261
2018-08-06,Total,17813
2018-08-07,New Zealand passport,6397
2018-08-07,Other passports,7281
2018-08-07,Total,13678
2018-08-08,New Zealand passport,8495
2018-08-08,Other passports,8309
2018-08-08,Total,16804
2018-08-09,New Zealand passport,7811
2018-08-09,Other passports,8491
2018-08-09,Total,16302
2018-08-10,New Zealand passport,9704
2018-08-10,Other passports,9984
2018-08-10,Total,19688
2018-08-11,New Zealand passport,9078
2018-08-11,Other passports,9697
2018-08-11,Total,18775
2018-08-12,New Zealand passport,7933
2018-08-12,Other passports,10775
2018-08-12,Total,18708
2018-08-13,New Zealand passport,7407
2018-08-13,Other passports,8949
2018-08-13,Total,16356
2018-08-14,New Zealand passport,6750
2018-08-14,Other passports,7826
2018-08-14,Total,14576
2018-08-15,New Zealand passport,10212
2018-08-15,Other passports,9214
2018-08-15,Total,19426
2018-08-16,New Zealand passport,9660
2018-08-16,Other passports,8581
2018-08-16,Total,18241
2018-08-17,New Zealand passport,10845
2018-08-17,Other passports,10446
2018-08-17,Total,21291
2018-08-18,New Zealand passport,9153
2018-08-18,Other passports,10011
2018-08-18,Total,19164
2018-08-19,New Zealand passport,7729
2018-08-19,Other passports,11219
2018-08-19,Total,18948
2018-08-20,New Zealand passport,7389
2018-08-20,Other passports,8819
2018-08-20,Total,16208
2018-08-21,New Zealand passport,7011
2018-08-21,Other passports,8515
2018-08-21,Total,15526
2018-08-22,New Zealand passport,7992
2018-08-22,Other passports,9008
2018-08-22,Total,17000
2018-08-23,New Zealand passport,8770
2018-08-23,Other passports,8298
2018-08-23,Total,17068
2018-08-24,New Zealand passport,9675
2018-08-24,Other passports,10110
2018-08-24,Total,19785
2018-08-25,New Zealand passport,9519
2018-08-25,Other passports,10066
2018-08-25,Total,19585
2018-08-26,New Zealand passport,9233
2018-08-26,Other passports,11785
2018-08-26,Total,21018
2018-08-27,New Zealand passport,7605
2018-08-27,Other passports,9023
2018-08-27,Total,16628
2018-08-28,New Zealand passport,7029
2018-08-28,Other passports,7965
2018-08-28,Total,14994
2018-08-29,New Zealand passport,8145
2018-08-29,Other passports,8474
2018-08-29,Total,16619
2018-08-30,New Zealand passport,8563
2018-08-30,Other passports,8147
2018-08-30,Total,16710
2018-08-31,New Zealand passport,9672
2018-08-31,Other passports,9185
2018-08-31,Total,18857
2018-09-01,New Zealand passport,10138
2018-09-01,Other passports,8488
2018-09-01,Total,18626
2018-09-02,New Zealand passport,8938
2018-09-02,Other passports,8729
2018-09-02,Total,17667
2018-09-03,New Zealand passport,7817
2018-09-03,Other passports,7112
2018-09-03,Total,14929
2018-09-04,New Zealand passport,8082
2018-09-04,Other passports,6586
2018-09-04,Total,14668
2018-09-05,New Zealand passport,8976
2018-09-05,Other passports,6773
2018-09-05,Total,15749
2018-09-06,New Zealand passport,9270
2018-09-06,Other passports,6931
2018-09-06,Total,16201
2018-09-07,New Zealand passport,10132
2018-09-07,Other passports,8589
2018-09-07,Total,18721
2018-09-08,New Zealand passport,9707
2018-09-08,Other passports,8000
2018-09-08,Total,17707
2018-09-09,New Zealand passport,8629
2018-09-09,Other passports,9387
2018-09-09,Total,18016
2018-09-10,New Zealand passport,7150
2018-09-10,Other passports,7048
2018-09-10,Total,14198
2018-09-11,New Zealand passport,7248
2018-09-11,Other passports,7108
2018-09-11,Total,14356
2018-09-12,New Zealand passport,8617
2018-09-12,Other passports,7275
2018-09-12,Total,15892
2018-09-13,New Zealand passport,8782
2018-09-13,Other passports,7400
2018-09-13,Total,16182
2018-09-14,New Zealand passport,9824
2018-09-14,Other passports,8636
2018-09-14,Total,18460
2018-09-15,New Zealand passport,9001
2018-09-15,Other passports,8670
2018-09-15,Total,17671
2018-09-16,New Zealand passport,7384
2018-09-16,Other passports,9320
2018-09-16,Total,16704
2018-09-17,New Zealand passport,7038
2018-09-17,Other passports,7334
2018-09-17,Total,14372
2018-09-18,New Zealand passport,6816
2018-09-18,Other passports,7667
2018-09-18,Total,14483
2018-09-19,New Zealand passport,7978
2018-09-19,Other passports,7799
2018-09-19,Total,15777
2018-09-20,New Zealand passport,9115
2018-09-20,Other passports,7890
2018-09-20,Total,17005
2018-09-21,New Zealand passport,10089
2018-09-21,Other passports,9131
2018-09-21,Total,19220
2018-09-22,New Zealand passport,10150
2018-09-22,Other passports,8556
2018-09-22,Total,18706
2018-09-23,New Zealand passport,8064
2018-09-23,Other passports,9460
2018-09-23,Total,17524
2018-09-24,New Zealand passport,7177
2018-09-24,Other passports,8250
2018-09-24,Total,15427
2018-09-25,New Zealand passport,7663
2018-09-25,Other passports,8060
2018-09-25,Total,15723
2018-09-26,New Zealand passport,10464
2018-09-26,Other passports,8931
2018-09-26,Total,19395
